iter	Passed	Remaining
655	768	403
656	769	401
657	770	400
658	771	399
659	772	398
660	773	396
661	774	395
662	775	394
663	776	392
664	777	391
665	778	390
666	779	388
667	779	387
668	780	386
669	781	385
670	782	383
671	783	382
672	784	381
673	785	380
674	786	378
675	787	377
676	788	376
677	789	374
678	790	373
679	791	372
680	792	371
681	792	369
682	793	368
683	794	367
684	795	365
685	796	364
686	798	363
687	799	362
688	800	361
689	801	360
690	802	358
691	803	357
692	804	356
693	805	355
694	806	353
695	807	352
696	808	351
697	808	349
698	809	348
699	810	347
700	811	346
701	812	344
702	813	343
703	814	342
704	815	341
705	816	339
706	817	338
707	818	337
708	819	336
709	820	334
710	821	333
711	821	332
712	822	331
713	823	329
714	824	328
715	826	327
716	827	326
717	828	325
718	829	324
719	830	322
720	831	321
721	832	320
722	833	319
723	834	317
724	835	316
725	836	315
726	836	314
727	837	313
728	838	311
729	839	310
730	840	309
731	841	308
732	842	306
733	843	305
734	844	304
735	845	303
736	845	301
737	846	300
738	847	299
739	848	298
740	849	296
741	850	295
742	851	294
743	852	293
744	853	291
745	853	290
746	854	289
747	855	288
748	856	287
749	857	285
750	858	284
751	859	283
752	860	282
753	861	281
754	862	279
755	863	278
756	864	277
757	865	276
758	866	275
759	867	273
760	868	272
761	869	271
762	870	270
763	870	269
764	871	267
765	872	266
766	873	265
767	874	264
768	875	262
769	876	261
770	877	260
771	877	259
772	878	258
773	879	256
774	880	255
775	881	254
776	882	253
777	883	252
778	884	250
779	885	249
780	887	248
781	888	247
782	889	246
783	890	245
784	891	244
785	892	242
786	892	241
787	893	240
788	894	239
789	895	238
790	896	236
791	897	235
792	898	234
793	899	233
794	900	232
795	901	231
796	902	229
797	903	228
798	904	227
799	905	226
800	905	225
801	906	223
802	907	222
803	908	221
804	909	220
805	910	219
806	911	217
807	912	216
808	913	215
809	914	214
810	915	213
811	916	212
812	917	211
813	918	209
814	919	208
815	920	207
816	921	206
817	922	205
818	923	204
819	923	202
820	924	201
821	925	200
822	926	199
823	927	198
824	928	196
825	929	195
826	930	194
827	931	193
828	932	192
829	932	191
830	933	189
831	934	188
832	935	187
833	936	186
834	937	185
835	938	184
836	939	182
837	940	181
838	941	180
839	941	179
840	942	178
841	943	177
842	944	175
843	946	174
844	947	173
845	947	172
846	948	171
847	949	170
848	950	169
849	951	167
850	952	166
851	953	165
852	954	164
853	955	163
854	956	162
855	957	160
856	957	159
857	958	158
858	959	157
859	960	156
860	961	155
861	962	154
862	963	152
863	964	151
864	964	150
865	965	149
866	966	148
867	967	147
868	968	145
869	969	144
870	970	143
871	971	142
872	972	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	978	134
879	979	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	986	124
888	988	123
889	989	122
890	990	121
891	990	119
892	991	118
893	992	117
894	993	116
895	994	115
896	995	114
897	996	113
898	997	112
899	998	110
900	999	109
901	1000	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	103
907	1005	101
908	1006	100
909	1007	99
910	1008	98
911	1009	97
912	1010	96
913	1011	95
914	1012	94
915	1013	92
916	1014	91
917	1015	90
918	1016	89
919	1017	88
920	1018	87
921	1018	86
922	1019	85
923	1020	83
924	1021	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1026	77
930	1027	76
931	1027	74
932	1028	73
933	1029	72
934	1030	71
935	1031	70
936	1032	69
937	1033	68
938	1034	67
939	1035	66
940	1036	64
941	1037	63
942	1038	62
943	1039	61
944	1040	60
945	1041	59
946	1042	58
947	1042	57
948	1043	56
949	1044	54
950	1045	53
951	1046	52
952	1047	51
953	1048	50
954	1049	49
955	1050	48
956	1050	47
957	1051	46
958	1052	45
959	1053	43
960	1054	42
961	1055	41
962	1056	40
963	1057	39
964	1058	38
965	1058	37
966	1059	36
967	1060	35
968	1061	33
969	1062	32
970	1063	31
971	1064	30
972	1065	29
973	1066	28
974	1066	27
975	1067	26
976	1068	25
977	1070	24
978	1071	22
979	1072	21
980	1073	20
981	1074	19
982	1075	18
983	1075	17
984	1076	16
985	1077	15
986	1078	14
987	1079	13
988	1080	12
989	1081	10
990	1081	9
991	1083	8
992	1084	7
993	1084	6
994	1085	5
995	1086	4
996	1087	3
997	1088	2
998	1089	1
999	1090	0
